GUT_GENOME141191_3_65	gi|322688997|ref|YP_004208731.1|	30.789	393	1.17e-49	165	95
GUT_GENOME141191_3_65	gi|23335577|ref|ZP_00120811.1|	31.024	332	2.13e-44	152	79
GUT_GENOME141191_3_65	gi|253578879|ref|ZP_04856150.1|	30.594	438	3.03e-40	141	98
GUT_GENOME141191_3_65	gi|291522399|emb|CBK80692.1|	24.882	422	4.81e-28	107	95
GUT_GENOME141191_3_65	gi|167759158|ref|ZP_02431285.1|	24.528	318	5.15e-27	104	77
GUT_GENOME141191_3_65	gi|154502436|ref|ZP_02039496.1|	23.754	341	2.45e-26	102	81
GUT_GENOME141191_3_65	gi|160932588|ref|ZP_02079978.1|	26.667	285	1.50e-24	96.7	70
GUT_GENOME141191_3_65	gi|283796807|ref|ZP_06345960.1|	27.642	246	1.57e-22	91.3	59
GUT_GENOME141191_3_65	gi|317498222|ref|ZP_07956521.1|	26.601	203	3.97e-21	85.5	48
GUT_GENOME141191_3_65	gi|225419931|ref|ZP_03762234.1|	26.977	215	4.52e-17	74.7	49
GUT_GENOME141191_3_65	gi|325279507|ref|YP_004252049.1|	30.435	138	3.69e-16	72.4	35
GUT_GENOME141191_3_65	gi|189460481|ref|ZP_03009266.1|	26.027	292	1.38e-15	69.7	70
GUT_GENOME141191_3_65	gi|194335165|ref|YP_002019731.1|	28.302	159	2.83e-15	68.9	39
GUT_GENOME141191_3_65	gi|355625064|ref|ZP_09048006.1|	24.380	242	3.24e-15	69.3	58
GUT_GENOME141191_3_65	gi|313147618|ref|ZP_07809811.1|	27.624	181	3.91e-15	68.6	45
GUT_GENOME141191_3_65	gi|194337359|ref|YP_002019153.1|	27.500	200	4.16e-15	68.6	49
GUT_GENOME141191_3_65	gi|238909111|ref|YP_002939578.1|	25.439	228	1.43e-14	67.4	49
GUT_GENOME141191_3_65	gi|345871758|ref|ZP_08823701.1|	26.768	198	1.44e-14	66.6	50
GUT_GENOME141191_3_65	gi|78189651|ref|YP_379989.1|	25.103	243	2.15e-14	66.2	61
GUT_GENOME141191_3_65	gi|331088842|ref|ZP_08337752.1|	25.000	228	2.95e-14	66.2	49
GUT_GENOME141191_3_65	gi|323485235|ref|ZP_08090585.1|	25.217	230	1.92e-13	63.5	50
GUT_GENOME141191_3_65	gi|218295563|ref|ZP_03496376.1|	26.848	257	4.38e-13	62.0	61
GUT_GENOME141191_3_65	gi|167754333|ref|ZP_02426460.1|	25.806	248	1.65e-12	60.8	60
GUT_GENOME141191_3_65	gi|253574968|ref|ZP_04852307.1|	24.597	248	3.66e-12	59.7	60
GUT_GENOME141191_3_65	gi|308273696|emb|CBX30298.1|	24.922	321	3.71e-12	60.1	69
GUT_GENOME141191_3_65	gi|225163615|ref|ZP_03725922.1|	27.326	172	7.37e-12	58.5	39
GUT_GENOME141191_3_65	gi|119509703|ref|ZP_01628848.1|	22.848	302	7.53e-12	58.5	70
GUT_GENOME141191_3_65	gi|119356297|ref|YP_910941.1|	25.389	193	8.68e-12	58.2	44
GUT_GENOME141191_3_65	gi|355363092|gb|EHG10842.1|	23.611	216	9.20e-12	58.2	54
GUT_GENOME141191_3_65	gi|167758195|ref|ZP_02430322.1|	26.207	145	1.01e-11	57.8	36
GUT_GENOME141191_3_65	gi|344343882|ref|ZP_08774748.1|	28.873	142	1.75e-11	57.4	35
GUT_GENOME141191_3_65	gi|257094650|ref|YP_003168291.1|	22.959	196	3.83e-11	56.2	49
GUT_GENOME141191_3_65	gi|186684985|ref|YP_001868181.1|	21.481	270	6.91e-11	55.5	63
GUT_GENOME141191_3_65	gi|348026361|ref|YP_004766166.1|	26.316	209	7.45e-11	55.5	48
GUT_GENOME141191_3_65	gi|42527768|ref|NP_972866.1|	29.412	153	1.74e-10	54.3	38
GUT_GENOME141191_3_65	gi|17230989|ref|NP_487537.1|	23.704	270	2.01e-10	54.3	63
GUT_GENOME141191_3_65	gi|167763773|ref|ZP_02435900.1|	27.397	146	2.11e-10	54.3	35
GUT_GENOME141191_3_65	gi|218961492|ref|YP_001741267.1|	23.558	208	2.35e-10	53.9	51
GUT_GENOME141191_3_65	gi|254523226|ref|ZP_05135281.1|	21.429	322	2.99e-10	53.9	71
GUT_GENOME141191_3_65	gi|291614412|ref|YP_003524569.1|	20.727	275	4.87e-10	52.8	63
GUT_GENOME141191_3_65	gi|323486088|ref|ZP_08091419.1|	22.692	260	1.12e-09	52.0	59
GUT_GENOME141191_3_65	gi|297374652|emb|CBL42939.1|	23.429	175	1.27e-09	52.0	38
GUT_GENOME141191_3_65	gi|160938970|ref|ZP_02086321.1|	25.907	193	1.69e-09	51.2	47
GUT_GENOME141191_3_65	gi|291621968|emb|CAX65001.1|	24.590	305	1.79e-09	51.6	73
GUT_GENOME141191_3_65	gi|332707562|ref|ZP_08427598.1|	21.875	224	1.87e-09	51.2	52
GUT_GENOME141191_3_65	gi|258517326|ref|YP_003193548.1|	23.582	335	2.41e-09	50.8	78
GUT_GENOME141191_3_65	gi|345893474|ref|ZP_08844272.1|	23.729	177	2.52e-09	50.8	45
GUT_GENOME141191_3_65	gi|312115534|ref|YP_004013130.1|	20.940	234	2.82e-09	50.4	54
GUT_GENOME141191_3_65	gi|332666264|ref|YP_004449052.1|	24.880	209	3.13e-09	50.4	51
GUT_GENOME141191_3_65	gi|194337212|ref|YP_002019006.1|	31.783	129	3.52e-09	50.1	27
GUT_GENOME141191_3_65	gi|220934786|ref|YP_002513685.1|	23.718	156	4.37e-09	50.1	38
GUT_GENOME141191_3_65	gi|338999650|ref|ZP_08638292.1|	25.664	226	5.53e-09	49.7	54
GUT_GENOME141191_3_65	gi|146277368|ref|YP_001167527.1|	24.016	254	7.51e-09	49.3	62
GUT_GENOME141191_3_65	gi|154504579|ref|ZP_02041317.1|	28.025	157	1.46e-08	46.6	39
GUT_GENOME141191_3_65	gi|350574651|ref|ZP_08942908.1|	21.053	247	1.59e-08	48.5	58
GUT_GENOME141191_3_65	gi|347538767|ref|YP_004846191.1|	22.794	272	1.78e-08	48.1	59
GUT_GENOME141191_3_65	gi|291546485|emb|CBL19593.1|	22.059	340	2.08e-08	47.8	81
GUT_GENOME141191_3_65	gi|120599269|ref|YP_963843.1|	24.896	241	2.19e-08	48.1	57
GUT_GENOME141191_3_65	gi|291513637|emb|CBK62847.1|	25.333	225	3.12e-08	47.4	56
GUT_GENOME141191_3_65	gi|340788559|ref|YP_004754024.1|	20.476	210	6.17e-08	46.6	47
GUT_GENOME141191_3_65	gi|119511289|ref|ZP_01630404.1|	23.182	220	7.17e-08	46.2	51
GUT_GENOME141191_3_65	gi|150390313|ref|YP_001320362.1|	23.894	226	9.03e-08	45.8	52
GUT_GENOME141191_3_65	gi|134299090|ref|YP_001112586.1|	23.182	220	9.45e-08	45.8	54
GUT_GENOME141191_3_65	gi|83310593|ref|YP_420857.1|	22.865	363	2.02e-07	45.1	84
GUT_GENOME141191_3_65	gi|355386195|gb|EHG33235.1|	26.115	157	2.27e-07	44.7	40
GUT_GENOME141191_3_65	gi|153810696|ref|ZP_01963364.1|	23.276	232	3.04e-07	44.3	53
GUT_GENOME141191_3_65	gi|158333546|ref|YP_001514718.1|	23.005	213	3.21e-07	43.9	49
GUT_GENOME141191_3_65	gi|229815313|ref|ZP_04445648.1|	23.770	244	3.47e-07	44.3	59
GUT_GENOME141191_3_65	gi|332533803|ref|ZP_08409659.1|	22.093	258	3.84e-07	43.9	62
GUT_GENOME141191_3_65	gi|126659397|ref|ZP_01730532.1|	25.806	124	4.13e-07	43.9	27
GUT_GENOME141191_3_65	gi|187929429|ref|YP_001899916.1|	20.000	215	4.92e-07	43.5	48
GUT_GENOME141191_3_65	gi|27311204|ref|NP_758929.1|	30.081	123	5.58e-07	43.1	30
GUT_GENOME141191_3_65	gi|126660098|ref|ZP_01731218.1|	23.077	195	9.10e-07	42.7	44
GUT_GENOME141191_3_65	gi|227485876|ref|ZP_03916192.1|	23.737	198	1.05e-06	42.7	47
GUT_GENOME141191_3_65	gi|332534155|ref|ZP_08410003.1|	22.973	222	1.52e-06	42.4	54
GUT_GENOME141191_3_65	gi|257093900|ref|YP_003167541.1|	26.923	182	2.10e-06	41.6	39
GUT_GENOME141191_3_65	gi|336435571|ref|ZP_08615286.1|	22.078	154	2.38e-06	41.6	39
GUT_GENOME141191_3_65	gi|113474819|ref|YP_720880.1|	24.713	174	2.40e-06	41.2	39
GUT_GENOME141191_3_65	gi|167841733|ref|ZP_02468417.1|	21.296	216	2.52e-06	41.2	48
GUT_GENOME141191_3_65	gi|210634695|ref|ZP_03298223.1|	26.282	156	5.18e-06	40.4	38
GUT_GENOME141191_3_65	gi|336433792|ref|ZP_08613604.1|	24.390	164	7.88e-06	39.7	41
GUT_GENOME141191_3_65	gi|299067086|emb|CBJ38282.1|	23.301	206	7.89e-06	40.0	48
GUT_GENOME141191_60_34	gi|355386195|gb|EHG33235.1|	35.608	337	5.80e-64	200	97
GUT_GENOME141191_60_34	gi|257792377|ref|YP_003182983.1|	33.235	340	4.16e-55	178	97
GUT_GENOME141191_60_34	gi|336435571|ref|ZP_08615286.1|	31.548	336	4.74e-55	177	96
GUT_GENOME141191_60_34	gi|336433792|ref|ZP_08613604.1|	34.568	324	1.84e-54	175	93
GUT_GENOME141191_60_34	gi|229815313|ref|ZP_04445648.1|	31.657	338	2.59e-53	174	97
GUT_GENOME141191_60_34	gi|227485876|ref|ZP_03916192.1|	31.728	353	4.52e-52	170	95
GUT_GENOME141191_60_34	gi|139439157|ref|ZP_01772609.1|	32.812	320	7.36e-52	169	91
