GUT_GENOME065705_1_1	1_1
GUT_GENOME065705_1_2	1_2
GUT_GENOME065705_1_3	1_3
GUT_GENOME065705_1_4	1_4
GUT_GENOME065705_1_5	1_5
GUT_GENOME065705_1_6	1_6
GUT_GENOME065705_1_7	1_7
GUT_GENOME065705_1_8	1_8
GUT_GENOME065705_1_9	1_9
GUT_GENOME065705_1_10	1_10
GUT_GENOME065705_1_11	1_11
GUT_GENOME065705_1_12	1_12
GUT_GENOME065705_1_13	1_13
GUT_GENOME065705_1_14	1_14
GUT_GENOME065705_1_15	1_15
GUT_GENOME065705_1_16	1_16
GUT_GENOME065705_1_17	1_17
GUT_GENOME065705_1_18	1_18
GUT_GENOME065705_1_19	1_19
GUT_GENOME065705_1_20	1_20
GUT_GENOME065705_1_21	1_21
GUT_GENOME065705_1_22	1_22
GUT_GENOME065705_1_23	1_23
GUT_GENOME065705_1_24	1_24
GUT_GENOME065705_1_25	1_25
GUT_GENOME065705_1_26	1_26
GUT_GENOME065705_1_27	1_27
GUT_GENOME065705_1_28	1_28
GUT_GENOME065705_1_29	1_29
GUT_GENOME065705_1_30	1_30
GUT_GENOME065705_1_31	1_31
GUT_GENOME065705_1_32	1_32
GUT_GENOME065705_1_33	1_33
GUT_GENOME065705_1_34	1_34
GUT_GENOME065705_1_35	1_35
GUT_GENOME065705_1_36	1_36
GUT_GENOME065705_1_37	1_37
GUT_GENOME065705_1_38	1_38
GUT_GENOME065705_1_39	1_39
GUT_GENOME065705_1_40	1_40
GUT_GENOME065705_1_41	1_41
GUT_GENOME065705_1_42	1_42
GUT_GENOME065705_1_43	1_43
GUT_GENOME065705_1_44	1_44
GUT_GENOME065705_1_45	1_45
GUT_GENOME065705_1_46	1_46
GUT_GENOME065705_1_47	1_47
GUT_GENOME065705_1_48	1_48
GUT_GENOME065705_1_49	1_49
GUT_GENOME065705_1_50	1_50
GUT_GENOME065705_1_51	1_51
GUT_GENOME065705_1_52	1_52
GUT_GENOME065705_1_53	1_53
GUT_GENOME065705_1_54	1_54
GUT_GENOME065705_1_55	1_55
GUT_GENOME065705_1_56	1_56
GUT_GENOME065705_1_57	1_57
GUT_GENOME065705_1_58	1_58
GUT_GENOME065705_1_59	1_59
GUT_GENOME065705_1_60	1_60
GUT_GENOME065705_1_61	1_61
GUT_GENOME065705_1_62	1_62
GUT_GENOME065705_1_63	1_63
GUT_GENOME065705_1_64	1_64
GUT_GENOME065705_1_65	1_65
GUT_GENOME065705_1_66	1_66
GUT_GENOME065705_2_1	2_1
GUT_GENOME065705_2_2	2_2
GUT_GENOME065705_2_3	2_3
GUT_GENOME065705_2_4	2_4
GUT_GENOME065705_2_5	2_5
GUT_GENOME065705_2_6	2_6
GUT_GENOME065705_2_7	2_7
GUT_GENOME065705_2_8	2_8
GUT_GENOME065705_2_9	2_9
