1_1	GUT_GENOME141191_1_1
1_2	GUT_GENOME141191_1_2
1_3	GUT_GENOME141191_1_3
1_4	GUT_GENOME141191_1_4
1_5	GUT_GENOME141191_1_5
1_6	GUT_GENOME141191_1_6
1_7	GUT_GENOME141191_1_7
1_8	GUT_GENOME141191_1_8
1_9	GUT_GENOME141191_1_9
1_10	GUT_GENOME141191_1_10
1_11	GUT_GENOME141191_1_11
1_12	GUT_GENOME141191_1_12
1_13	GUT_GENOME141191_1_13
1_14	GUT_GENOME141191_1_14
1_15	GUT_GENOME141191_1_15
1_16	GUT_GENOME141191_1_16
1_17	GUT_GENOME141191_1_17
1_18	GUT_GENOME141191_1_18
1_19	GUT_GENOME141191_1_19
1_20	GUT_GENOME141191_1_20
1_21	GUT_GENOME141191_1_21
1_22	GUT_GENOME141191_1_22
1_23	GUT_GENOME141191_1_23
1_24	GUT_GENOME141191_1_24
1_25	GUT_GENOME141191_1_25
1_26	GUT_GENOME141191_1_26
1_27	GUT_GENOME141191_1_27
1_28	GUT_GENOME141191_1_28
1_29	GUT_GENOME141191_1_29
1_30	GUT_GENOME141191_1_30
1_31	GUT_GENOME141191_1_31
1_32	GUT_GENOME141191_1_32
1_33	GUT_GENOME141191_1_33
1_34	GUT_GENOME141191_1_34
1_35	GUT_GENOME141191_1_35
1_36	GUT_GENOME141191_1_36
1_37	GUT_GENOME141191_1_37
1_38	GUT_GENOME141191_1_38
1_39	GUT_GENOME141191_1_39
1_40	GUT_GENOME141191_1_40
1_41	GUT_GENOME141191_1_41
1_42	GUT_GENOME141191_1_42
1_43	GUT_GENOME141191_1_43
1_44	GUT_GENOME141191_1_44
1_45	GUT_GENOME141191_1_45
1_46	GUT_GENOME141191_1_46
1_47	GUT_GENOME141191_1_47
1_48	GUT_GENOME141191_1_48
1_49	GUT_GENOME141191_1_49
1_50	GUT_GENOME141191_1_50
1_51	GUT_GENOME141191_1_51
1_52	GUT_GENOME141191_1_52
1_53	GUT_GENOME141191_1_53
1_54	GUT_GENOME141191_1_54
1_55	GUT_GENOME141191_1_55
1_56	GUT_GENOME141191_1_56
1_57	GUT_GENOME141191_1_57
2_1	GUT_GENOME141191_2_1
2_2	GUT_GENOME141191_2_2
2_3	GUT_GENOME141191_2_3
2_4	GUT_GENOME141191_2_4
2_5	GUT_GENOME141191_2_5
2_6	GUT_GENOME141191_2_6
2_7	GUT_GENOME141191_2_7
2_8	GUT_GENOME141191_2_8
2_9	GUT_GENOME141191_2_9
2_10	GUT_GENOME141191_2_10
2_11	GUT_GENOME141191_2_11
2_12	GUT_GENOME141191_2_12
2_13	GUT_GENOME141191_2_13
2_14	GUT_GENOME141191_2_14
2_15	GUT_GENOME141191_2_15
2_16	GUT_GENOME141191_2_16
2_17	GUT_GENOME141191_2_17
2_18	GUT_GENOME141191_2_18
2_19	GUT_GENOME141191_2_19
2_20	GUT_GENOME141191_2_20
2_21	GUT_GENOME141191_2_21
2_22	GUT_GENOME141191_2_22
2_23	GUT_GENOME141191_2_23
2_24	GUT_GENOME141191_2_24
2_25	GUT_GENOME141191_2_25
2_26	GUT_GENOME141191_2_26
2_27	GUT_GENOME141191_2_27
2_28	GUT_GENOME141191_2_28
2_29	GUT_GENOME141191_2_29
2_30	GUT_GENOME141191_2_30
2_31	GUT_GENOME141191_2_31
2_32	GUT_GENOME141191_2_32
2_33	GUT_GENOME141191_2_33
2_34	GUT_GENOME141191_2_34
2_35	GUT_GENOME141191_2_35
2_36	GUT_GENOME141191_2_36
2_37	GUT_GENOME141191_2_37
2_38	GUT_GENOME141191_2_38
2_39	GUT_GENOME141191_2_39
2_40	GUT_GENOME141191_2_40
3_1	GUT_GENOME141191_3_1
3_2	GUT_GENOME141191_3_2
3_3	GUT_GENOME141191_3_3
3_4	GUT_GENOME141191_3_4
3_5	GUT_GENOME141191_3_5
3_6	GUT_GENOME141191_3_6
3_7	GUT_GENOME141191_3_7
3_8	GUT_GENOME141191_3_8
3_9	GUT_GENOME141191_3_9
3_10	GUT_GENOME141191_3_10
3_11	GUT_GENOME141191_3_11
3_12	GUT_GENOME141191_3_12
3_13	GUT_GENOME141191_3_13
3_14	GUT_GENOME141191_3_14
3_15	GUT_GENOME141191_3_15
3_16	GUT_GENOME141191_3_16
3_17	GUT_GENOME141191_3_17
3_18	GUT_GENOME141191_3_18
3_19	GUT_GENOME141191_3_19
3_20	GUT_GENOME141191_3_20
3_21	GUT_GENOME141191_3_21
3_22	GUT_GENOME141191_3_22
3_23	GUT_GENOME141191_3_23
3_24	GUT_GENOME141191_3_24
3_25	GUT_GENOME141191_3_25
3_26	GUT_GENOME141191_3_26
3_27	GUT_GENOME141191_3_27
3_28	GUT_GENOME141191_3_28
3_29	GUT_GENOME141191_3_29
3_30	GUT_GENOME141191_3_30
3_31	GUT_GENOME141191_3_31
3_32	GUT_GENOME141191_3_32
3_33	GUT_GENOME141191_3_33
3_34	GUT_GENOME141191_3_34
3_35	GUT_GENOME141191_3_35
3_36	GUT_GENOME141191_3_36
3_37	GUT_GENOME141191_3_37
3_38	GUT_GENOME141191_3_38
3_39	GUT_GENOME141191_3_39
3_40	GUT_GENOME141191_3_40
3_41	GUT_GENOME141191_3_41
3_42	GUT_GENOME141191_3_42
3_43	GUT_GENOME141191_3_43
3_44	GUT_GENOME141191_3_44
3_45	GUT_GENOME141191_3_45
3_46	GUT_GENOME141191_3_46
3_47	GUT_GENOME141191_3_47
3_48	GUT_GENOME141191_3_48
3_49	GUT_GENOME141191_3_49
3_50	GUT_GENOME141191_3_50
3_51	GUT_GENOME141191_3_51
3_52	GUT_GENOME141191_3_52
3_53	GUT_GENOME141191_3_53
3_54	GUT_GENOME141191_3_54
3_55	GUT_GENOME141191_3_55
3_56	GUT_GENOME141191_3_56
3_57	GUT_GENOME141191_3_57
3_58	GUT_GENOME141191_3_58
3_59	GUT_GENOME141191_3_59
3_60	GUT_GENOME141191_3_60
3_61	GUT_GENOME141191_3_61
3_62	GUT_GENOME141191_3_62
3_63	GUT_GENOME141191_3_63
3_64	GUT_GENOME141191_3_64
3_65	GUT_GENOME141191_3_65
3_66	GUT_GENOME141191_3_66
3_67	GUT_GENOME141191_3_67
3_68	GUT_GENOME141191_3_68
3_69	GUT_GENOME141191_3_69
3_70	GUT_GENOME141191_3_70
3_71	GUT_GENOME141191_3_71
3_72	GUT_GENOME141191_3_72
3_73	GUT_GENOME141191_3_73
3_74	GUT_GENOME141191_3_74
3_75	GUT_GENOME141191_3_75
3_76	GUT_GENOME141191_3_76
3_77	GUT_GENOME141191_3_77
3_78	GUT_GENOME141191_3_78
3_79	GUT_GENOME141191_3_79
3_80	GUT_GENOME141191_3_80
3_81	GUT_GENOME141191_3_81
3_82	GUT_GENOME141191_3_82
3_83	GUT_GENOME141191_3_83
3_84	GUT_GENOME141191_3_84
3_85	GUT_GENOME141191_3_85
3_86	GUT_GENOME141191_3_86
3_87	GUT_GENOME141191_3_87
3_88	GUT_GENOME141191_3_88
3_89	GUT_GENOME141191_3_89
3_90	GUT_GENOME141191_3_90
3_91	GUT_GENOME141191_3_91
3_92	GUT_GENOME141191_3_92
3_93	GUT_GENOME141191_3_93
3_94	GUT_GENOME141191_3_94
3_95	GUT_GENOME141191_3_95
3_96	GUT_GENOME141191_3_96
3_97	GUT_GENOME141191_3_97
3_98	GUT_GENOME141191_3_98
4_1	GUT_GENOME141191_4_1
4_2	GUT_GENOME141191_4_2
4_3	GUT_GENOME141191_4_3
4_4	GUT_GENOME141191_4_4
4_5	GUT_GENOME141191_4_5
4_6	GUT_GENOME141191_4_6
4_7	GUT_GENOME141191_4_7
4_8	GUT_GENOME141191_4_8
4_9	GUT_GENOME141191_4_9
4_10	GUT_GENOME141191_4_10
4_11	GUT_GENOME141191_4_11
4_12	GUT_GENOME141191_4_12
4_13	GUT_GENOME141191_4_13
4_14	GUT_GENOME141191_4_14
4_15	GUT_GENOME141191_4_15
4_16	GUT_GENOME141191_4_16
4_17	GUT_GENOME141191_4_17
4_18	GUT_GENOME141191_4_18
4_19	GUT_GENOME141191_4_19
4_20	GUT_GENOME141191_4_20
4_21	GUT_GENOME141191_4_21
4_22	GUT_GENOME141191_4_22
4_23	GUT_GENOME141191_4_23
4_24	GUT_GENOME141191_4_24
4_25	GUT_GENOME141191_4_25
4_26	GUT_GENOME141191_4_26
4_27	GUT_GENOME141191_4_27
4_28	GUT_GENOME141191_4_28
4_29	GUT_GENOME141191_4_29
4_30	GUT_GENOME141191_4_30
4_31	GUT_GENOME141191_4_31
4_32	GUT_GENOME141191_4_32
4_33	GUT_GENOME141191_4_33
4_34	GUT_GENOME141191_4_34
4_35	GUT_GENOME141191_4_35
4_36	GUT_GENOME141191_4_36
4_37	GUT_GENOME141191_4_37
4_38	GUT_GENOME141191_4_38
4_39	GUT_GENOME141191_4_39
4_40	GUT_GENOME141191_4_40
4_41	GUT_GENOME141191_4_41
4_42	GUT_GENOME141191_4_42
4_43	GUT_GENOME141191_4_43
4_44	GUT_GENOME141191_4_44
4_45	GUT_GENOME141191_4_45
4_46	GUT_GENOME141191_4_46
4_47	GUT_GENOME141191_4_47
4_48	GUT_GENOME141191_4_48
4_49	GUT_GENOME141191_4_49
4_50	GUT_GENOME141191_4_50
4_51	GUT_GENOME141191_4_51
4_52	GUT_GENOME141191_4_52
4_53	GUT_GENOME141191_4_53
4_54	GUT_GENOME141191_4_54
4_55	GUT_GENOME141191_4_55
4_56	GUT_GENOME141191_4_56
4_57	GUT_GENOME141191_4_57
4_58	GUT_GENOME141191_4_58
4_59	GUT_GENOME141191_4_59
4_60	GUT_GENOME141191_4_60
4_61	GUT_GENOME141191_4_61
4_62	GUT_GENOME141191_4_62
4_63	GUT_GENOME141191_4_63
4_64	GUT_GENOME141191_4_64
4_65	GUT_GENOME141191_4_65
4_66	GUT_GENOME141191_4_66
4_67	GUT_GENOME141191_4_67
4_68	GUT_GENOME141191_4_68
4_69	GUT_GENOME141191_4_69
4_70	GUT_GENOME141191_4_70
4_71	GUT_GENOME141191_4_71
4_72	GUT_GENOME141191_4_72
4_73	GUT_GENOME141191_4_73
4_74	GUT_GENOME141191_4_74
4_75	GUT_GENOME141191_4_75
4_76	GUT_GENOME141191_4_76
4_77	GUT_GENOME141191_4_77
5_1	GUT_GENOME141191_5_1
5_2	GUT_GENOME141191_5_2
5_3	GUT_GENOME141191_5_3
5_4	GUT_GENOME141191_5_4
5_5	GUT_GENOME141191_5_5
5_6	GUT_GENOME141191_5_6
5_7	GUT_GENOME141191_5_7
5_8	GUT_GENOME141191_5_8
5_9	GUT_GENOME141191_5_9
5_10	GUT_GENOME141191_5_10
5_11	GUT_GENOME141191_5_11
5_12	GUT_GENOME141191_5_12
5_13	GUT_GENOME141191_5_13
5_14	GUT_GENOME141191_5_14
5_15	GUT_GENOME141191_5_15
5_16	GUT_GENOME141191_5_16
5_17	GUT_GENOME141191_5_17
5_18	GUT_GENOME141191_5_18
5_19	GUT_GENOME141191_5_19
5_20	GUT_GENOME141191_5_20
5_21	GUT_GENOME141191_5_21
5_22	GUT_GENOME141191_5_22
5_23	GUT_GENOME141191_5_23
5_24	GUT_GENOME141191_5_24
5_25	GUT_GENOME141191_5_25
5_26	GUT_GENOME141191_5_26
5_27	GUT_GENOME141191_5_27
5_28	GUT_GENOME141191_5_28
5_29	GUT_GENOME141191_5_29
5_30	GUT_GENOME141191_5_30
5_31	GUT_GENOME141191_5_31
5_32	GUT_GENOME141191_5_32
5_33	GUT_GENOME141191_5_33
6_1	GUT_GENOME141191_6_1
6_2	GUT_GENOME141191_6_2
6_3	GUT_GENOME141191_6_3
6_4	GUT_GENOME141191_6_4
6_5	GUT_GENOME141191_6_5
6_6	GUT_GENOME141191_6_6
6_7	GUT_GENOME141191_6_7
6_8	GUT_GENOME141191_6_8
6_9	GUT_GENOME141191_6_9
6_10	GUT_GENOME141191_6_10
6_11	GUT_GENOME141191_6_11
6_12	GUT_GENOME141191_6_12
6_13	GUT_GENOME141191_6_13
6_14	GUT_GENOME141191_6_14
6_15	GUT_GENOME141191_6_15
6_16	GUT_GENOME141191_6_16
6_17	GUT_GENOME141191_6_17
6_18	GUT_GENOME141191_6_18
7_1	GUT_GENOME141191_7_1
7_2	GUT_GENOME141191_7_2
7_3	GUT_GENOME141191_7_3
7_4	GUT_GENOME141191_7_4
7_5	GUT_GENOME141191_7_5
7_6	GUT_GENOME141191_7_6
7_7	GUT_GENOME141191_7_7
7_8	GUT_GENOME141191_7_8
7_9	GUT_GENOME141191_7_9
7_10	GUT_GENOME141191_7_10
7_11	GUT_GENOME141191_7_11
7_12	GUT_GENOME141191_7_12
7_13	GUT_GENOME141191_7_13
7_14	GUT_GENOME141191_7_14
7_15	GUT_GENOME141191_7_15
7_16	GUT_GENOME141191_7_16
7_17	GUT_GENOME141191_7_17
7_18	GUT_GENOME141191_7_18
7_19	GUT_GENOME141191_7_19
7_20	GUT_GENOME141191_7_20
7_21	GUT_GENOME141191_7_21
7_22	GUT_GENOME141191_7_22
7_23	GUT_GENOME141191_7_23
7_24	GUT_GENOME141191_7_24
7_25	GUT_GENOME141191_7_25
7_26	GUT_GENOME141191_7_26
7_27	GUT_GENOME141191_7_27
7_28	GUT_GENOME141191_7_28
7_29	GUT_GENOME141191_7_29
7_30	GUT_GENOME141191_7_30
