GUT_GENOME141191_1	2	847	1_1
GUT_GENOME141191_1	1367	1615	1_2
GUT_GENOME141191_1	1783	2175	1_3
GUT_GENOME141191_1	2248	3135	1_4
GUT_GENOME141191_1	3159	3785	1_5
GUT_GENOME141191_1	4052	4492	1_6
GUT_GENOME141191_1	4561	5262	1_7
GUT_GENOME141191_1	5321	6334	1_8
GUT_GENOME141191_1	6875	7861	1_9
GUT_GENOME141191_1	7882	9648	1_10
GUT_GENOME141191_1	9645	10760	1_11
GUT_GENOME141191_1	10760	11875	1_12
GUT_GENOME141191_1	11890	12537	1_13
GUT_GENOME141191_1	12550	13125	1_14
GUT_GENOME141191_1	13358	14035	1_15
GUT_GENOME141191_1	14284	15294	1_16
GUT_GENOME141191_1	15420	17009	1_17
GUT_GENOME141191_1	17089	17592	1_18
GUT_GENOME141191_1	17589	19310	1_19
GUT_GENOME141191_1	19432	20442	1_20
GUT_GENOME141191_1	20919	22154	1_21
GUT_GENOME141191_1	22272	23033	1_22
GUT_GENOME141191_1	23372	24574	1_23
GUT_GENOME141191_1	24674	25447	1_24
GUT_GENOME141191_1	25634	26104	1_25
GUT_GENOME141191_1	26097	26552	1_26
GUT_GENOME141191_1	26518	28029	1_27
GUT_GENOME141191_1	28023	31019	1_28
GUT_GENOME141191_1	31025	32290	1_29
GUT_GENOME141191_1	32290	33690	1_30
GUT_GENOME141191_1	33832	35109	1_31
GUT_GENOME141191_1	35351	35545	1_32
GUT_GENOME141191_1	35603	36373	1_33
GUT_GENOME141191_1	36387	37574	1_34
GUT_GENOME141191_1	37796	38386	1_35
GUT_GENOME141191_1	38396	38926	1_36
GUT_GENOME141191_1	39067	39480	1_37
GUT_GENOME141191_1	39505	40149	1_38
GUT_GENOME141191_1	40163	40561	1_39
GUT_GENOME141191_1	40720	41277	1_40
GUT_GENOME141191_1	41291	41704	1_41
GUT_GENOME141191_1	42012	44183	1_42
GUT_GENOME141191_1	44348	45460	1_43
GUT_GENOME141191_1	45807	46004	1_44
GUT_GENOME141191_1	46334	46594	1_45
GUT_GENOME141191_1	46563	46826	1_46
GUT_GENOME141191_1	47444	48532	1_47
GUT_GENOME141191_1	48620	49234	1_48
GUT_GENOME141191_1	49268	50716	1_49
GUT_GENOME141191_1	50858	52162	1_50
GUT_GENOME141191_1	52321	53781	1_51
GUT_GENOME141191_1	54351	54650	1_52
GUT_GENOME141191_1	55157	55369	1_53
GUT_GENOME141191_1	55353	55634	1_54
GUT_GENOME141191_1	55588	55839	1_55
GUT_GENOME141191_1	55908	56237	1_56
GUT_GENOME141191_1	56368	56850	1_57
GUT_GENOME141191_10	2	271	10_1
GUT_GENOME141191_10	424	984	10_2
GUT_GENOME141191_10	1213	2463	10_3
GUT_GENOME141191_10	2524	3225	10_4
GUT_GENOME141191_10	3508	4731	10_5
GUT_GENOME141191_10	4745	6067	10_6
GUT_GENOME141191_10	6090	6470	10_7
GUT_GENOME141191_10	6765	7097	10_8
GUT_GENOME141191_100	3	698	100_1
GUT_GENOME141191_100	676	2175	100_2
GUT_GENOME141191_100	2405	3148	100_3
GUT_GENOME141191_100	3492	4445	100_4
GUT_GENOME141191_100	4519	5838	100_5
GUT_GENOME141191_100	6102	7244	100_6
GUT_GENOME141191_100	7349	7669	100_7
GUT_GENOME141191_100	7696	7953	100_8
GUT_GENOME141191_100	7953	8225	100_9
GUT_GENOME141191_100	8230	10152	100_10
GUT_GENOME141191_100	10145	10921	100_11
GUT_GENOME141191_101	2	2647	101_1
GUT_GENOME141191_101	2653	3897	101_2
GUT_GENOME141191_101	4107	5681	101_3
GUT_GENOME141191_101	6022	6495	101_4
GUT_GENOME141191_101	6615	7988	101_5
GUT_GENOME141191_101	8022	8381	101_6
GUT_GENOME141191_101	8381	8986	101_7
GUT_GENOME141191_101	9003	9566	101_8
GUT_GENOME141191_101	9712	10710	101_9
GUT_GENOME141191_101	10730	11884	101_10
GUT_GENOME141191_101	11992	12444	101_11
GUT_GENOME141191_101	12464	13015	101_12
GUT_GENOME141191_101	13396	13689	101_13
GUT_GENOME141191_102	1	945	102_1
GUT_GENOME141191_102	1332	2741	102_2
GUT_GENOME141191_102	2926	3369	102_3
GUT_GENOME141191_103	390	710	103_1
GUT_GENOME141191_103	888	1595	103_2
GUT_GENOME141191_103	1777	2643	103_3
GUT_GENOME141191_103	2674	3468	103_4
GUT_GENOME141191_103	3579	4514	103_5
